Название;Режиссёр;Страна производства;Жанр;Год выхода;Место в рейтинге;Средняя оценка пользователей сайта
Кома;Никита Аргунов;Россия;фантастика, боевик, приключения;2019;451;7.9
Меняющие реальность;Джордж Нолфи;США;фантастика, мелодрама;2010;452;7.9
Расплата;Гэвин О'Коннор;США;драма;2016;453;7.9
Монстры на каникулах;Генндий Тартаковский;США;комедия, анимация, семейный;2012;454;7.9
Мег: Монстр глубины;Джон Тертелтауб;США;ужасы, фантастика, боевик;2018;455;7.9
Как приручить дракона 2;Дин Деблуа;США;комедия, фэнтези, анимация, боевик, приключения;2014;456;7.9
Арахисовый сокол;Тайлер Нилсон;США;приключения;2019;457;7.9
Кролик Питер;Уилл Глак;США;анимация, семейный, детский;2018;458;7.9
Опасная игра Слоун;Джон Мэдден;США;драма;2016;459;7.9
Терминатор: да придет спаситель;МакДжи;США / Германия / Великобритания;триллер, фантастика, боевик, драма, приключения;2009;460;7.9
Паранормальное явление 3;Генри Джуст;США;ужасы;2011;461;7.9
Элвин и бурундуки 2;Бетти Томас;США;фантастика, комедия, семейный, мюзикл;2009;462;7.9
Кровавый алмаз;Эдвард Цвик;США;триллер, драма, приключения;2006;463;7.9
Воспоминания;Лиза Джой;США;фантастика, триллер, мелодрама;2021;464;7.9
План побега;Микаэль Хофстрем;США;триллер, боевик, фантастика;2013;465;7.9
Мама;Элизабет Бостан;СССР / Франция / Румыния;семейный, сказка, мюзикл;1976;466;7.9
Форсаж 6;Джастин Лин;США;боевик, драма, триллер, криминал;2013;467;7.9
Крид 2;Стивен Кейпл мл.;США;спорт, драма, боевик;2018;468;7.9
Тихое место 2;Джон Красински;США;ужасы;2021;469;7.9
Человек-муравей и Оса;Пейтон Рид;США;фантастика, боевик, приключения;2018;470;7.9
Поезд на Юму;Джеймс Мэнголд;США;вестерн;2007;471;7.9
Чёрная Вдова;Кейт Шортланд;США;фантастика, боевик, приключения;2021;472;7.9
Сладкий ноябрь;Пэт О’Коннор;США;комедия, драма, мелодрама;2001;473;7.9
Пять невест;Карен Оганесян;Россия;комедия;2011;474;7.9
Пила 6;Кевин Гротерт;США / Канада / Великобритания / Австралия;триллер, мистика, криминал, ужасы;2009;475;7.9
Безумный Макс: Дорога ярости;Джордж Миллер;Австралия;приключения, боевик;2015;476;7.9
Неизвестный;Хауме Кольет-Серра;США;драма, криминал, триллер;2011;477;7.9
Смешарики. Начало;Денис Чернов;Россия;анимация, детский;2011;478;7.9
Джон Уик;Дэвид Литч;США;боевик, триллер;2014;480;7.9
Вспомнить все;Пол Верховен;США;приключения, ужасы, боевик, триллер, фантастика;1990;481;7.9
Эверест;Бальтасар Кормакур;США / Великобритания;драма, приключения, триллер;2015;482;7.9
Полицейский с Рублевки. Новогодний беспредел;Илья Куликов;Россия;комедия, драма, криминал;2018;483;7.9
28 недель спустя;Хуан Карлос Фреснадильо;Великобритания;фантастика, триллер, ужасы;2007;484;7.9
Пандорум;Кристиан Альварт;США / Германия;ужасы, фантастика;2009;485;7.9
